amc,Sigla,1991,2000,2010,Amazon
4237,CE,13097,13131,15467,0
4238,CE,9472,8643,10216,0
4239,CE,11057,11737,12001,0
4240,CE,15027,15658,15061,0
4241,CE,8148,9138,10276,0
4242,CE,5784,5768,6126,0
4243,CE,17345,18355,19921,0
4244,CE,15679,15596,15000,0
4245,CE,59100,59235,71887,0
4246,CE,13801,16862,19412,0
4247,CE,22757,24993,26415,0
4248,CE,17305,21224,19455,0
4249,CE,46566,57320,69833,0
4250,CE,15461,16226,15752,0
4251,CE,12645,13925,15453,0
4252,CE,22447,26198,29946,0
4253,CE,15403,16847,17170,0
4254,CE,36700,39894,44178,0
4255,CE,29286,35608,43890,0
4256,CE,8018,8650,7900,0
4257,CE,10609,11497,12332,0
4258,CE,26597,27225,26469,0
4259,CE,5175,5605,6852,0
4260,CE,127489,155276,188233,0
4261,CE,15831,16902,17665,0
4262,CE,25106,27098,29204,0
4263,CE,26260,25973,25451,0
4264,CE,10113,9213,8910,0
4265,CE,51339,51948,55716,0
4266,CE,11805,13519,16827,0
4267,CE,44005,58069,68892,0
4268,CE,36344,44527,51422,0
4269,CE,9916,11498,14408,0
4270,CE,23374,27095,31787,0
4271,CE,7896,7435,7545,0
4272,CE,15331,17343,18802,0
4273,CE,13518,16444,19765,0
4274,CE,10220,11479,12883,0
4275,CE,13465,16593,17593,0
4276,CE,31331,34844,38434,0
4277,CE,40865,45427,54955,0
5001,RN,10983,11189,11035,0
5002,RN,43591,47904,53227,0
5003,RN,10733,10867,10844,0
5004,RN,2309,2678,2980,0
5005,RN,14580,13772,13507,0
5006,RN,5698,5195,4871,0
5007,RN,8247,9499,12305,0
5008,RN,14476,14276,14403,0
5009,RN,7564,6757,6907,0
5010,RN,31175,34174,34763,0
5011,RN,21216,22530,25315,0
5012,RN,11140,11323,12924,0
5013,RN,12437,12666,12657,0
5014,RN,7223,7821,8573,0
5015,RN,15471,18922,24182,0
5016,RN,3655,3990,3950,0
5017,RN,4463,4709,5113,0
5018,RN,17188,18762,16234,0
5019,RN,7197,8608,9440,0
5020,RN,8033,10317,11577,0
5021,RN,8943,9220,8991,0
5022,RN,2616,2867,3308,0
5023,RN,50640,57002,62709,0
5024,RN,9349,9201,10266,0
5025,RN,22919,27011,30916,0
5026,RN,20248,18810,19576,0
5027,RN,5608,6572,7429,0
5028,RN,10461,12256,14979,0
5029,RN,52157,62424,68141,0
5030,RN,10526,10839,10916,0
5031,RN,5909,5409,5405,0
5032,RN,4725,4703,4772,0
5033,RN,7885,8138,7967,0
5034,RN,40227,40791,42652,0
5035,RN,6448,6552,6492,0
5036,RN,63312,124690,202456,0
5037,RN,4720,4798,5231,0
5038,RN,5492,5664,5822,0
5039,RN,10121,10715,10475,0
5040,RN,14941,19572,24569,0
5041,RN,6042,5534,5734,0
5042,RN,12424,13390,14365,0
5043,RN,3267,3021,2874,0
5044,RN,4642,4580,4233,0
5045,RN,1265,1767,2159,0
5046,RN,17496,17661,22481,0
5047,RN,10447,11772,12374,0
5048,RN,9306,11446,13080,0
5049,RN,6082,8149,12404,0
5050,RN,9106,10249,12171,0
5051,RN,16021,18173,20788,0
5052,RN,1701,1902,2077,0
5053,RN,4901,5271,5564,0
5054,RN,6859,7677,7925,0
5055,RN,5444,6124,6801,0
5056,RN,5983,5597,5345,0
5057,RN,6659,7687,9011,0
5058,RN,6072,6328,5522,0
5059,RN,2439,2670,2607,0
5060,RN,9957,11994,13506,0
5061,RN,11840,12041,12113,0
5062,RN,25854,29248,32227,0
